"scenario","year","tas","tas_30yr"
"ssp126",1948,6.63671222957759,8.33604839710354
"ssp126",1949,7.67966174818067,8.29109491481098
"ssp126",1950,7.90523255230632,8.2667026339135
"ssp126",1951,9.00049020427549,8.26579746025037
"ssp126",1952,7.59357963520323,8.22947870897536
"ssp126",1953,8.35818272420807,8.23845507694322
"ssp126",1954,8.78156086124788,8.25934982450198
"ssp126",1955,7.99373235833157,8.21928094395921
"ssp126",1956,7.79036031420767,8.22215739228507
"ssp126",1957,7.27421323175302,8.1590059715873
"ssp126",1958,8.15037047503748,8.13577713772268
"ssp126",1959,8.77899303697562,8.11314111572103
"ssp126",1960,8.99619754311819,8.14728235218435
"ssp126",1961,8.30704638337438,8.15210727604369
"ssp126",1962,8.47246653935683,8.1679003172342
"ssp126",1963,8.29763141788851,8.18131995399977
"ssp126",1964,8.50820696054263,8.16647385700102
"ssp126",1965,7.60169819871042,8.14164810540463
"ssp126",1966,8.99232436924767,8.15694608005172
"ssp126",1967,8.30492210910747,8.1480660375445
"ssp126",1968,9.28094880984783,8.16009544860094
"ssp126",1969,8.13605589148119,8.17823351263267
"ssp126",1970,7.09349381956338,8.17277917594997
"ssp126",1971,7.27894671714471,8.10573328029946
"ssp126",1972,8.39989115397138,8.11676530164634
"ssp126",1973,8.63165876832729,8.15083274298571
"ssp126",1974,8.31768840633029,8.16569390082845
"ssp126",1975,8.03818183794416,8.17239462037442
"ssp126",1976,7.57488044780462,8.15421451626763
"ssp126",1977,7.5006912022421,8.12253399824359
"ssp126",1978,7.30318804179155,8.14474985865072
"ssp126",1979,6.91793221251608,8.11935887412857
"ssp126",1980,8.03340038862387,8.12363113533915
"ssp126",1981,7.42320932884741,8.07105510615822
"ssp126",1982,7.71576780554369,8.07512804516957
"ssp126",1983,9.02574329114942,8.09738006406761
"ssp126",1984,7.67601044868513,8.06052838364885
"ssp126",1985,8.23711589656466,8.06864116825662
"ssp126",1986,7.50651128063465,8.05917953380419
"ssp126",1987,8.1842550199326,8.08951426007684
"ssp126",1988,7.70160439913392,8.07455539088006
"ssp126",1989,8.17144198482986,8.05430368914186
"ssp126",1990,8.56629529979133,8.0399736143643
"ssp126",1991,7.49396069670379,8.01287075814195
"ssp126",1992,6.64260654136785,7.95187542487565
"ssp126",1993,6.72048573951201,7.8993039022631
"ssp126",1994,7.3679030326948,7.86129377133484
"ssp126",1995,7.51089510982986,7.85826700170549
"ssp126",1996,8.94726327364564,7.85676496518542
"ssp126",1997,9.04936088666526,7.88157959110401
"ssp126",1998,8.66181180771085,7.86094169103278
